,0
115,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2  
117,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O  
119,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
121,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl  
123,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2  
125,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl 
127,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C  
129,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl  
131,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC
133,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
135,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N  
137,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N  
139,CC1=NC2=C(N1)CCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5C6=CC=CC=C6  
141,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C  
143,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O  
145,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
147,C1=CC(=CN=C1)C(=O)O  
149,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
151,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2  
153,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
155,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
157,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C
